ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T05:03:41.790877,esp32-sound,66,16,6084244
2025-10-30T05:03:44.384608,esp32-sound,66,16,6087108
2025-10-30T05:03:46.955777,esp32-sound,66,16,6089771
2025-10-30T05:03:49.958329,esp32-sound,66,16,6092230
2025-10-30T05:03:52.797396,esp32-sound,66,16,6095204
2025-10-30T05:03:55.360486,esp32-sound,65,15,6098064
2025-10-30T05:03:57.791868,esp32-sound,65,15,6100627
2025-10-30T05:04:00.374008,esp32-sound,66,16,6103012
2025-10-30T05:04:03.046260,esp32-sound,66,16,6105645
2025-10-30T05:04:05.899777,esp32-sound,67,17,6108308
2025-10-30T05:04:08.462814,esp32-sound,66,16,6111174
2025-10-30T05:04:11.021090,esp32-sound,66,16,6113735
2025-10-30T05:04:13.484124,esp32-sound,66,16,6116294
2025-10-30T05:04:16.138869,esp32-sound,66,16,6118752
2025-10-30T05:04:20.147884,esp32-sound,65,15,6121415
2025-10-30T05:04:22.796282,esp32-sound,66,16,6125510
2025-10-30T05:04:25.405075,esp32-sound,66,16,6128073
2025-10-30T05:04:28.004632,esp32-sound,66,16,6130733
2025-10-30T05:04:30.483497,esp32-sound,67,17,6133294
2025-10-30T05:04:33.143522,esp32-sound,66,16,6135753
2025-10-30T05:04:35.606842,esp32-sound,66,16,6138412
2025-10-30T05:04:38.260640,esp32-sound,66,16,6140972
2025-10-30T05:04:41.175835,esp32-sound,66,16,6143532
2025-10-30T05:04:43.932425,esp32-sound,65,15,6146507
2025-10-30T05:04:46.450967,esp32-sound,66,16,6149267
2025-10-30T05:04:49.011577,esp32-sound,66,16,6151726
2025-10-30T05:04:51.466667,esp32-sound,66,16,6154286
2025-10-30T05:04:54.440941,esp32-sound,66,16,6156744
2025-10-30T05:04:56.994105,esp32-sound,66,16,6159717
2025-10-30T05:04:59.452292,esp32-sound,66,16,6162274
2025-10-30T05:05:02.126673,esp32-sound,67,17,6164832
2025-10-30T05:05:04.562349,esp32-sound,66,16,6167394
2025-10-30T05:05:07.492703,esp32-sound,66,16,6169952
2025-10-30T05:05:10.730883,esp32-sound,66,16,6173024
2025-10-30T05:05:13.532440,esp32-sound,66,16,6176197
2025-10-30T05:05:16.455252,esp32-sound,66,16,6178961
2025-10-30T05:05:19.117254,esp32-sound,67,17,6181729
2025-10-30T05:05:21.677670,esp32-sound,66,16,6184391
2025-10-30T05:05:24.545687,esp32-sound,67,17,6187053
2025-10-30T05:05:27.125921,esp32-sound,66,16,6189820
2025-10-30T05:05:29.663334,esp32-sound,66,16,6192480
2025-10-30T05:05:32.222436,esp32-sound,66,16,6194942
